DOS,Month,Day,Year,Month,Day,Year,Month,Day,Year,Month,Day,Year,Month,Day,Year,Month,Day,Year,Month,Day,Year,Month,Day,Year
1,6,5,2014,6,12,2014,7,14,2014,8,16,2014,9,15,2014,10,5,2014,10,15,2014,11,3,2014
1,5,28,2015,6,5,2015,7,9,2015,8,10,2015,9,2,2015,9,20,2015,10,21,2015,11,23,2015
1,5,30,2016,6,5,2016,7,12,2016,8,16,2016,9,11,2016,9,21,2016,10,7,2016,11,5,2016
1,5,30,2017,6,7,2017,7,13,2017,8,22,2017,9,14,2017,10,2,2017,10,15,2017,11,12,2017
1,5,15,2018,5,23,2018,6,22,2018,7,26,2018,8,17,2018,9,8,2018,10,8,2018,11,12,2018
1,5,25,2019,6,2,2019,7,2,2019,8,4,2019,8,27,2019,9,18,2019,10,18,2019,11,22,2019
1,7,1,2014,7,8,2014,8,8,2014,9,12,2014,10,19,2014,11,7,2014,11,12,2014,11,22,2014
1,6,20,2015,6,27,2015,7,30,2015,8,28,2015,9,20,2015,10,12,2015,11,15,2015,12,26,2015
1,6,16,2016,6,24,2016,8,1,2016,9,5,2016,9,29,2016,10,15,2016,11,2,2016,11,18,2016
1,8,10,2017,8,18,2017,9,24,2017,10,21,2017,11,2,2017,11,24,2017,12,16,2017,1,13,2018
1,6,2,2018,6,10,2018,7,10,2018,8,13,2018,9,4,2018,9,26,2018,10,26,2018,11,30,2018
1,6,8,2019,6,16,2019,7,17,2019,8,20,2019,9,11,2019,10,3,2019,11,1,2019,12,6,2019
1,8,9,2014,8,16,2014,9,16,2014,10,9,2014,11,7,2014,11,26,2014,12,14,2014,1,1,2015
1,7,28,2015,8,5,2015,9,9,2015,10,12,2015,11,4,2015,11,25,2015,12,28,2015,1,20,2016
1,7,29,2016,8,5,2016,9,8,2016,10,6,2016,10,17,2016,11,3,2016,11,23,2016,12,16,2016
1,8,24,2017,9,2,2017,10,9,2017,11,2,2017,11,23,2017,12,20,2017,1,17,2018,2,3,2018
1,7,12,2018,7,20,2018,8,19,2018,9,22,2018,10,14,2018,11,5,2018,12,5,2018,1,9,2019
